product_id,product_name,department_id,description,price,image_url
38,Ultra Antibacterial Dish Liquid,21,Quality ultra antibacterial dish liquid - fresh grocery product,5.7,https://via.placeholder.com/300x300?text=No+Image
72,Organic Honeycrisp Apples,21,Honeycrisp Apples,4.56,https://via.placeholder.com/300x300?text=No+Image
110,Uncured Turkey Bologna,21,Quality uncured turkey bologna - fresh grocery product,4.52,https://via.placeholder.com/300x300?text=No+Image
297,"Write Bros Ball Point Pens, Cap-Pen, Medium (1.0 mm), Black Ink",21,"Quality write bros ball point pens, cap-pen, medium (1.0 mm), black ink - fresh grocery product",2.58,https://via.placeholder.com/300x300?text=No+Image
417,Classics Baby Binks Easter Chocolate Bunny,21,Quality classics baby binks easter chocolate bunny - fresh grocery product,3.91,https://via.placeholder.com/300x300?text=No+Image
437,Strawberry Cheesecake Nonfat Yogurt,21,Dannon light & fit greek nonfat yogurt strawberry cheesecake,10.61,https://images.openfoodfacts.org/images/products/003/663/203/7534/front_en.13.400.jpg
440,Crossovers Olive Thyme Almond,21,Quality crossovers olive thyme almond - fresh grocery product,14.05,https://via.placeholder.com/300x300?text=No+Image
472,Fancy Diced Hot Chilies,21,Quality fancy diced hot chilies - fresh grocery product,6.45,https://via.placeholder.com/300x300?text=No+Image
491,Pompelmo Water,21,"San Pellegrino, Nestlé",11.45,https://images.openfoodfacts.org/images/products/800/227/060/6823/front_en.3.400.jpg
556,Bake & Break Cheese Garlic Loaf,21,Quality bake & break cheese garlic loaf - fresh grocery product,6.95,https://via.placeholder.com/300x300?text=No+Image
562,Traditional Tartar Sauce,21,"Resta style traditional tartar sauce, traditional",11.95,https://via.placeholder.com/300x300?text=No+Image
614,Plain Dairy-Free Probiotic Drinkable Cashewgurt,21,Quality plain dairy-free probiotic drinkable cashewgurt - fresh grocery product,7.35,https://via.placeholder.com/300x300?text=No+Image
624,Chub Chorizo,21,Hungry Planet Sausage™ Chorizo Ground Chub,5.34,https://via.placeholder.com/300x300?text=No+Image
690,Vegetable Hearty Garden Soup,21,"Chicken broth, tomato puree (water, tomato paste), carrots, celery, corn, green beans, peas, diced tomatoes (diced tomatoes in tomato juice), potatoes, enriched pasta (durum wheat flour, water, egg wh",1.74,https://via.placeholder.com/300x300?text=No+Image
768,Nacho Grain-Free Tortilla Chips,21,Quality nacho grain-free tortilla chips - fresh grocery product,10.32,https://via.placeholder.com/300x300?text=No+Image
804,Ratatouille,21,"Ratatouille cuisinée à l'huile d'olive vierge extra 1,5%",8.69,https://images.openfoodfacts.org/images/products/308/368/109/5296/front_fr.100.400.jpg
891,Liquid Water Enhance Ice Van Java,21,Quality liquid water enhance ice van java - fresh grocery product,10.56,https://via.placeholder.com/300x300?text=No+Image
991,Red Sweet Mini Pepper,21,"Mini Paprika rot, kernlos",8.52,https://images.openfoodfacts.org/images/products/405/648/902/2923/front_hr.20.400.jpg
1019,Spicy Bbq Chicken Soup,21,Campbell's Chunky Spicy BBQ Seasoned Chicken with Beans,7.39,https://images.openfoodfacts.org/images/products/005/100/023/0898/front_en.4.400.jpg
1055,Naturals Grilled Chicken Nugget,21,Quality naturals grilled chicken nugget - fresh grocery product,8.72,https://via.placeholder.com/300x300?text=No+Image
1218,Buffalo Style Chicken Wrap,21,Buffalo Style Chicken Wrap,8.29,https://via.placeholder.com/300x300?text=No+Image
1283,Organic Edamame & Mung Bean Fettuccine,21,Organic Edamame & Mung Bean Fettuccine,6.56,https://images.openfoodfacts.org/images/products/085/418/300/6027/front_en.28.400.jpg
1302,Natural Orange Flavor Liquid Sublingual Melatonin,21,Quality natural orange flavor liquid sublingual melatonin - fresh grocery product,14.33,https://via.placeholder.com/300x300?text=No+Image
1387,White Apple Cauliflower & Leek Organic Baby Food,21,Quality white apple cauliflower & leek organic baby food - fresh grocery product,4.19,https://via.placeholder.com/300x300?text=No+Image
1548,Organic Vanilla Soy Milk,21,Latte soia vaniglia - Vemondo,9.41,https://images.openfoodfacts.org/images/products/405/648/969/5394/front_en.13.400.jpg
1562,Yellow Easter Basket Cakes,21,Quality yellow easter basket cakes - fresh grocery product,7.89,https://via.placeholder.com/300x300?text=No+Image
1715,Organic Honey Balsamic Dressing & Marinade,21,Quality organic honey balsamic dressing & marinade - fresh grocery product,13.73,https://via.placeholder.com/300x300?text=No+Image
1718,Broccoli Rabe Rapini Bag,21,Quality broccoli rabe rapini bag - fresh grocery product,4.76,https://via.placeholder.com/300x300?text=No+Image
1742,Onion Crispbread,21,Sweet Onion Crunchy Rye Breads 5 x (200g),13.36,https://images.openfoodfacts.org/images/products/505/097/450/3750/front_en.10.400.jpg
1798,Paso Robles Cabernet Sauvignon,21,Quality paso robles cabernet sauvignon - fresh grocery product,4.96,https://via.placeholder.com/300x300?text=No+Image
1859,Chocolate Covered Peanuts,21,Cacahuètes (23%) enrobées de chocolat au _lait_ (48%} et dragéifiées,1.35,https://images.openfoodfacts.org/images/products/500/015/949/2737/front_en.89.400.jpg
1961,Kombucha Beet,21,"Lenny Boy, Kombucha, Elite Beet",10.23,https://via.placeholder.com/300x300?text=No+Image
2032,Chocolate Fudge Brownie Slices Ice Cream,21,Barras de helado de chocolate con pudín de brownies de chocolate cubiertos con una capa de chocolate obscuro,12.9,https://images.openfoodfacts.org/images/products/007/684/065/7940/front_es.9.400.jpg
2082,Organic Valencia Orange,21,Valencia Orange 100% Orange Juice,9.32,https://images.openfoodfacts.org/images/products/506/021/897/0552/front_en.3.400.jpg
2134,Count Chocula Cereal,21,Chocolatey Cereal with Monster Marshmallows,4.85,https://images.openfoodfacts.org/images/products/006/563/345/1742/front_en.17.400.jpg
2162,Organic Wild Rumpus Avocado Babyfood,21,Quality organic wild rumpus avocado babyfood - fresh grocery product,5.48,https://via.placeholder.com/300x300?text=No+Image
2198,Cold Brew Baridi Black,21,Baridi black cold brew coffee,10.35,https://via.placeholder.com/300x300?text=No+Image
2265,Lime Grain-Free Tortilla Chips,21,Quality lime grain-free tortilla chips - fresh grocery product,3.21,https://via.placeholder.com/300x300?text=No+Image
2335,Organic Chopped BBQ Ranch Salad Kit,21,Organic Bbq Ranch Chopped Salad Kit,13.16,https://via.placeholder.com/300x300?text=No+Image
2371,Natural Uncured Beef Hot Dog,21,Natural Uncured Beef Hot Dog,10.59,https://images.openfoodfacts.org/images/products/002/531/777/5304/front_en.23.400.jpg
2375,Three Cheese Pizza Pocket,21,Pizza pocket Three Cheese,13.83,https://images.openfoodfacts.org/images/products/370/020/990/1418/front_fr.3.400.jpg
2384,Spicy Peanut Chicken & Broccolli,21,Quality spicy peanut chicken & broccolli - fresh grocery product,12.19,https://via.placeholder.com/300x300?text=No+Image
2507,Savory Garlic & Herb Jack Snack Cheese,21,Quality savory garlic & herb jack snack cheese - fresh grocery product,12.46,https://via.placeholder.com/300x300?text=No+Image
2554,Snacking Lupini Beans Hot Pepper,21,Quality snacking lupini beans hot pepper - fresh grocery product,8.4,https://via.placeholder.com/300x300?text=No+Image
2557,Touch Of Phlly Shredded Sharp Cheddar Cheese,21,Quality touch of phlly shredded sharp cheddar cheese - fresh grocery product,2.49,https://via.placeholder.com/300x300?text=No+Image
2577,2% Milk Fat Creamy Small Curd Cottage Cheese,21,Quality 2% milk fat creamy small curd cottage cheese - fresh grocery product,14.15,https://via.placeholder.com/300x300?text=No+Image
2592,Maple Almond Bar,21,"Hazelnut, Pecan & Maple Oat Bars",1.97,https://images.openfoodfacts.org/images/products/506/048/284/1992/front_en.23.400.jpg
2608,Taste Of Asia Tonkotsu Pork,21,Quality taste of asia tonkotsu pork - fresh grocery product,9.8,https://via.placeholder.com/300x300?text=No+Image
2673,Stage 2 Just Pinapple Pear Avocado Baby Food,21,Quality stage 2 just pinapple pear avocado baby food - fresh grocery product,6.12,https://via.placeholder.com/300x300?text=No+Image
2687,Face & Body Charcoal Soap Bar,21,Quality face & body charcoal soap bar - fresh grocery product,10.22,https://via.placeholder.com/300x300?text=No+Image
2736,Rts Brown & Quinoa Rice,21,Quality rts brown & quinoa rice - fresh grocery product,11.94,https://via.placeholder.com/300x300?text=No+Image
2753,Blueberry Drinkable Whole Milk Yogurt,21,Quality blueberry drinkable whole milk yogurt - fresh grocery product,11.08,https://via.placeholder.com/300x300?text=No+Image
2767,Organic Rosehip Oil,21,Organic Rosehip Seed Oil,5.84,https://via.placeholder.com/300x300?text=No+Image
2844,Lindor Assorted Chocolate Truffle Eggs Pouch,21,Quality lindor assorted chocolate truffle eggs pouch - fresh grocery product,4.79,https://via.placeholder.com/300x300?text=No+Image
2865,Probiotics 100% Strawberry & Banana Juice,21,Quality probiotics 100% strawberry & banana juice - fresh grocery product,8.25,https://via.placeholder.com/300x300?text=No+Image
2968,Honey Thats Nuts,21,Quality honey thats nuts - fresh grocery product,14.29,https://via.placeholder.com/300x300?text=No+Image
2980,Olive with Red Bell Pepper Cream Cheese Spread,21,"Olive with red bell pepper cream cheese spread, olive with red bell pepper",14.1,https://via.placeholder.com/300x300?text=No+Image
3069,Ginger/Garlic Vegetable Stir Fry Kit,21,Quality ginger/garlic vegetable stir fry kit - fresh grocery product,3.58,https://via.placeholder.com/300x300?text=No+Image
3128,Riced Cauliflower & Broccoli,21,Riced cauliflower & broccoli,6.49,https://images.openfoodfacts.org/images/products/506/041/986/0126/front_en.18.400.jpg
3194,Coffee Chocolate Chunk Greek Nonfat Yogurt & Cinnamon Crisps Dippers,21,Quality coffee chocolate chunk greek nonfat yogurt & cinnamon crisps dippers - fresh grocery product,1.35,https://via.placeholder.com/300x300?text=No+Image
3227,Avocado Slicer,21,Quality avocado slicer - fresh grocery product,7.68,https://via.placeholder.com/300x300?text=No+Image
3331,Organic Ginger Ale,21,Red Bull Organics Ginger Ale,11.73,https://images.openfoodfacts.org/images/products/000/009/042/4892/front_fr.25.400.jpg
3357,Nutrish Zero Grain Salmon And Sweet Potato Dog Food,21,Quality nutrish zero grain salmon and sweet potato dog food - fresh grocery product,12.06,https://via.placeholder.com/300x300?text=No+Image
3379,Complete Fresh Scent Dish Detergent Action Pacs,21,Quality complete fresh scent dish detergent action pacs - fresh grocery product,13.05,https://via.placeholder.com/300x300?text=No+Image
3386,"Coldpuree Organic Stage 2 Apple, Sweet Potato, Pineapple and Oat Baby Food",21,"Quality coldpuree organic stage 2 apple, sweet potato, pineapple and oat baby food - fresh grocery product",12.96,https://via.placeholder.com/300x300?text=No+Image
3422,Grilled Sesame Beef & Broccoli Meal,21,Quality grilled sesame beef & broccoli meal - fresh grocery product,14.94,https://via.placeholder.com/300x300?text=No+Image
3440,Lemon Cayenne Caffeine Kick,21,Quality lemon cayenne caffeine kick - fresh grocery product,7.8,https://via.placeholder.com/300x300?text=No+Image
3446,French Roast K Cup,21,French Roast Coffee One Cups,12.32,https://images.openfoodfacts.org/images/products/007/732/446/1527/front_en.3.400.jpg
3450,Classic Cheddar Cheese Chickpea Pasta Mac and Cheese,21,"Mac & cheese classic cheddar organic chickpea lentil pasta & cheese sauce, mac & cheese classic cheddar",14.86,https://via.placeholder.com/300x300?text=No+Image
