product_id,product_name,department_id,description,price,image_url
6,Dry Nose Oil,11,Quality dry nose oil - fresh grocery product,9.08,https://via.placeholder.com/300x300?text=No+Image
13,Saline Nasal Mist,11,Arm & Hammer Simply Saline Nasal Mist,3.7,https://via.placeholder.com/300x300?text=No+Image
22,Fresh Breath Oral Rinse Mild Mint,11,Quality fresh breath oral rinse mild mint - fresh grocery product,5.68,https://via.placeholder.com/300x300?text=No+Image
24,Tri-Vi-Sol® Vitamins A-C-and D Supplement Drops for Infants,11,Quality tri-vi-sol® vitamins a-c-and d supplement drops for infants - fresh grocery product,2.65,https://via.placeholder.com/300x300?text=No+Image
27,Complete Spring Water Foaming Antibacterial Hand Wash,11,Quality complete spring water foaming antibacterial hand wash - fresh grocery product,9.2,https://via.placeholder.com/300x300?text=No+Image
42,Biotin 1000 mcg,11,Quality biotin 1000 mcg - fresh grocery product,12.03,https://via.placeholder.com/300x300?text=No+Image
51,Sa Extra Hold Mousse Hair Styling,11,Quality sa extra hold mousse hair styling - fresh grocery product,9.15,https://via.placeholder.com/300x300?text=No+Image
55,Lasting Color Shampoo,11,Quality lasting color shampoo - fresh grocery product,4.77,https://via.placeholder.com/300x300?text=No+Image
75,"Hemp Protein, Organic",11,Hemp Protein Powder,10.95,https://images.openfoodfacts.org/images/products/506/023/848/0048/front_en.17.400.jpg
88,Probiotics High Potency Capsules,11,Quality probiotics high potency capsules - fresh grocery product,12.73,https://via.placeholder.com/300x300?text=No+Image
91,Kind Prenatal Once Daily,11,Quality kind prenatal once daily - fresh grocery product,2.18,https://via.placeholder.com/300x300?text=No+Image
113,Infant's Blend Probiotic,11,Quality infant's blend probiotic - fresh grocery product,12.15,https://via.placeholder.com/300x300?text=No+Image
125,Herbal Armor DEET-Free Natural Insect Repellant,11,Quality herbal armor deet-free natural insect repellant - fresh grocery product,5.51,https://via.placeholder.com/300x300?text=No+Image
133,Purifying Daily Detox Scrub,11,Quality purifying daily detox scrub - fresh grocery product,4.69,https://via.placeholder.com/300x300?text=No+Image
146,Anti Diarrheal Caplets,11,Quality anti diarrheal caplets - fresh grocery product,4.44,https://via.placeholder.com/300x300?text=No+Image
151,Aromatherapaes Stress Reducing Lavender & Chamomile Spa Bath,11,Quality aromatherapaes stress reducing lavender & chamomile spa bath - fresh grocery product,3.81,https://via.placeholder.com/300x300?text=No+Image
152,"3 in 1 Soap for Every Man, Cucumber & Lemon",11,"Quality 3 in 1 soap for every man, cucumber & lemon - fresh grocery product",13.23,https://via.placeholder.com/300x300?text=No+Image
159,"Calcium Adult Gummy Vitamins, Orange Cherry & Strawberry",11,"Quality calcium adult gummy vitamins, orange cherry & strawberry - fresh grocery product",11.68,https://via.placeholder.com/300x300?text=No+Image
