product_id,product_name,description,price,image_url
52,Mirabelle Brut Rose,Quality mirabelle brut rose - fresh grocery product,2.9,https://via.placeholder.com/300x300?text=No+Image
119,Chardonnay Paso Robles,Quality chardonnay paso robles - fresh grocery product,3.93,https://via.placeholder.com/300x300?text=No+Image
150,Brut Rosé,Champagne brut rosé,11.51,https://images.openfoodfacts.org/images/products/328/294/610/0090/front_fr.8.400.jpg
234,Tennessee Whiskey,Jack Daniel’s - Old No. 7,1.13,https://images.openfoodfacts.org/images/products/509/987/308/9798/front_en.3.400.jpg
249,"Pinot Grigio, California, 2010","Quality pinot grigio, california, 2010 - fresh grocery product",11.75,https://via.placeholder.com/300x300?text=No+Image
350,Mixed 12 Pack Lion's Share Ale,Quality mixed 12 pack lion's share ale - fresh grocery product,5.39,https://via.placeholder.com/300x300?text=No+Image
379,Super Dry Beer,Asahi Super Dry,2.14,https://images.openfoodfacts.org/images/products/800/844/024/6004/front_fr.3.400.jpg
430,Born Yesterday Pale Ale,Quality born yesterday pale ale - fresh grocery product,8.16,https://via.placeholder.com/300x300?text=No+Image
470,Lite Beer,Miller lite beer,8.19,https://images.openfoodfacts.org/images/products/000/000/343/5418/front_en.10.400.jpg
475,Organic Reposado Tequila,Quality organic reposado tequila - fresh grocery product,12.57,https://via.placeholder.com/300x300?text=No+Image
479,Most Wanted Cabernet Sauvignon Red Wine,Quality most wanted cabernet sauvignon red wine - fresh grocery product,1.47,https://via.placeholder.com/300x300?text=No+Image
522,Coffee Liqueur,KUSSCHEN: Bonbons de chocolat au lait et de chocolat noir fourrés noisette avec noisette entière. POCKET COFFEE: Bonbons de chocolat noir et de chocolat supérieur au lait fourrés café liquide. ROCHER:,4.87,https://images.openfoodfacts.org/images/products/800/050/011/9822/front_fr.63.400.jpg
551,"Riesling, Mosel, 2014","Quality riesling, mosel, 2014 - fresh grocery product",13.38,https://via.placeholder.com/300x300?text=No+Image
567,Malbec Red Wine,"Mendoza,Tesco finest, Tesco",7.12,https://images.openfoodfacts.org/images/products/505/189/865/4627/front_en.5.400.jpg
580,Washington State Merlot,Quality washington state merlot - fresh grocery product,5.61,https://via.placeholder.com/300x300?text=No+Image
598,Cabernet Sauvignon California,Cabernet Sauvignon 2012,12.02,https://images.openfoodfacts.org/images/products/008/500/000/5002/front_fr.21.400.jpg
736,"Beer, IPA","Premium beer, ipa - high quality grocery product",10.03,https://images.openfoodfacts.org/images/products/505/602/544/0432/front_en.9.400.jpg
818,Micro Craft Beer,NINKASI MICRO IPA,8.4,https://images.openfoodfacts.org/images/products/376/002/998/1656/front_fr.3.400.jpg
